first_name|gender|origin|definition
Jongo|m||
Fabanna|m||
Weioh|m|Crue|
Bengee|m||
Melwah|m||
Nannyweeah|m||
Corry|m||
Gongobeeah|m||
Samina|m||
Suseeh|m||
Moah|m||
Bahloo|m||
Quameh|m||
Bab|m||
Buahloo|m||
Besseh|m||
Jalla|m||
Seeseh|m||
Nahyure|m||
Nahyure|m||
Graybean|m||
Massa|m||
Naquay|m||
Seeseh|m||
Patton|m||
Burrah|m||
Cunnah|m||
Tongenah|m||
Seesole|m||
Toura|m||
Curry|m||
Whywoh|m||
Tongoh|m||
Tarramole|m||
Seesah|m||
Seesah|m||
Seesah|m||
Maquay|m||
Tarsole|m||
Bonnaseeah|m||
Joe|m||
Naquay|m||
Callamoah|m||
Seesah|m||
Nouerq|m||
Seeseh|m||
Noyquerry|m||
Tinwarrole|m||
Seesah|m||
Nayquay|m||
Seesah|m||
Nongah|m||
Seesah|m||
Uwag|m||
Seesah|m||
Seesah|m||
Seesah|m||
Quei|m||
Wowah|m||
Geei|m||
Seeseh|m||
Jonney|f||
Wagenna|f||
Wogue|f||
Colluey|f||
Tumah|f||
Colluo|f||
Yehley|f||
Collue|f||
Yehley|f||
Collue|f||
Colluey|f||
Colluey|f||
Yeowah|f||
Yeowah|f||
Gulling|f||
Collue|f||
Collue|f||
Seeahia|f||
Collue|f||
Woow|f||
Wow|f||
Loeabaloh|f||
Acquan|m|Calabar|
Wangoma|m|Eboo, Hebo|
Eckong|m|Eboo, Hebo|
Hannoo|m|Eboo, Hebo|
Hosoana|m|Eboo, Hebo|
Weheacke|m|Eboo, Hebo|
Ahoungoday|m|Eboo, Hebo|
Ohadquoy|m|Eboo, Hebo|
Hewoo|m|Eboo, Hebo|
Amackawodee|m|Eboo, Hebo|
Nyahmoley|m|Eboo, Hebo|
Watchakoe|m|Eboo, Hebo|
Mafekolay|m|Eboo, Hebo|
Goensee|m|Tappah|
Acquan|m|Calabar|
Acquanooah|m|Eboo, Hebo|
Eneya|m|Calabar|
Ennookan|m|Calabar|
Oamau|m|Calabar|
Acquachi|m|Calabar|
Oamau|m|Calabar|
Hoorah|m|Calabar|
Oamarken|m|Calabar|
Acquan Oamau|m|Calabar|
Oamau|m|Calabar|
Enyah|m|Calabar|
Atop|m|Calabar|
Ecannah|m|Calabar|
Oadam|m|Calabar|
Oolaha|m|Eboo, Hebo|
Ahbukroky|m|Eboo, Hebo|
Oodumba|m|Eboo, Hebo|
Chamdah|m|Eboo, Hebo|
Edallah|m|Eboo, Hebo|
Yaumah|m|Eboo, Hebo|
Moollamamah|m|Eboo, Hebo|
Alamuhee|m|Eboo, Hebo|
Wokuady|m|Eboo, Hebo|
Accessey|m|Eboo, Hebo|
Hoga|m|Eboo, Hebo|
Comay|m|Eboo, Hebo|
Oobah|m|Eboo, Hebo|
Oaaka|m|Eboo, Hebo|
Onubo|m|Eboo, Hebo|
Otchuboo|m|Eboo, Hebo|
Annalaylen|m|Eboo, Hebo|
Baakea|m|Tarquoh, Tarquoi, Tarquor|
Anaquah|m|Hausa, Hoosa, Houssa|
Mamma|m|Eboo, Hebo|
Assimilah|m|Hausa, Hoosa, Houssa|
Ochappo|m|Eboo, Hebo|
Cootsai|m|Eboo, Hebo|
Heboo|m|Eboo, Hebo|
Marcantum|m|Eboo, Hebo|
Heboo|m|Eboo, Hebo|
Hodio|m|Eboo, Hebo|
Hequiker|m|Eboo, Hebo|
Hanoser|m|Eboo, Hebo|
Hendarfogam|m|Eboo, Hebo|
Manmoque|m|Eboo, Hebo|
Mafocha|m|Eboo, Hebo|
Harcoo|m|Eboo, Hebo|
Wanhoo|m|Eboo, Hebo|
Hobear|m|Eboo, Hebo|
Hoar|m|Eboo, Hebo|
Honui|m|Eboo, Hebo|
Hattomy|m|Eboo, Hebo|
Habochar|m|Eboo, Hebo|
Menach|m|Eboo, Hebo|
Hanora|m|Eboo, Hebo|
Homur|m|Eboo, Hebo|
Hibunah|m|Eboo, Hebo|
Achu|m|Eboo, Hebo|
Hicattoramia|m|Eboo, Hebo|
Komulue|m|Eboo, Hebo|
Armatta|m|Eboo, Hebo|
Buchy|m|Eboo, Hebo|
Kacanon|m|Eboo, Hebo|
Alaboo|m|Eboo, Hebo|
Gouchy|m|Eboo, Hebo|
Urooh|m|Eboo, Hebo|
Kutchikoo|m|Eboo, Hebo|
Chibo|m|Eboo, Hebo|
Incaboo|m|Eboo, Hebo|
Boucoo|m|Eboo, Hebo|
Auklolky|m|Eboo, Hebo|
Appa|m|Eboo, Hebo|
Ireman|m|Eboo, Hebo|
Uduissa|m|Eboo, Hebo|
Comalee|m|Eboo, Hebo|
Alloukah|m|Eboo, Hebo|
Aucko|m|Eboo, Hebo|
Appa|m|Eboo, Hebo|
Oukwalla|m|Eboo, Hebo|
Pourah|m|Eboo, Hebo|
Happian|m|Eboo, Hebo|
Uricko|m|Calabar|
Enapa|m|Acon, Acan|
Ecahako|m|Eboo, Hebo|
Acquan|m|Calabar|
Housau|m|Calabar|
Hapah|m|Acon, Acan|
Gudou|m|Duncama|
Wibe|m|Eboo, Hebo|
Apa|m|Eboo, Hebo|
Acquan|m|Acon, Acan|
Cantah|m|Calabar|
Ohuassu|m|Calabar|
Oboucoo|m|Eboo, Hebo|
Ingove|m|Eboo, Hebo|
Joek|m|Eboo, Hebo|
Afrokoe|m|Eboo, Hebo|
Lageanna|m|Eboo, Hebo|
Okearfoe|m|Eboo, Hebo|
Omeek|m|Eboo, Hebo|
Orenfah|m|Eboo, Hebo|
