first_name|gender|origin
Elizabeth|f|sweden
Elize|f|sweden
Ella|f|sweden
Elle |f|sweden
Ellen|f|sweden
Elli |f|sweden
Ellie|f|sweden
Ellinor|f|sweden
Ellinore|f|sweden
Elly|f|sweden
Elma|f|sweden
Elmedina|f|sweden
Elna|f|sweden
Elona|f|sweden
Elsa|f|sweden
Else|f|sweden
Else-Marie|f|sweden
Elsi|f|sweden
Elsie|f|sweden
Elsie |f|sweden
Elsy|f|sweden
Elva |f|sweden
Elvi|f|sweden
Elvina |f|sweden
Elvira|f|sweden
Elwira|f|sweden
Elvy|f|sweden
Ema|f|sweden
Embla|f|sweden
Emeli |f|sweden
Emelia|f|sweden
Emelie|f|sweden
Emely|f|sweden
Emerentia|f|sweden
Emilia|f|sweden
Emilie|f|sweden
Emilija|f|sweden
Emily|f|sweden
Emina|f|sweden
Emma|f|sweden
Emmelie|f|sweden
Emmi|f|sweden
Emmie|f|sweden
Emmy|f|sweden
Emy|f|sweden
Engla|f|sweden
Enja |f|sweden
Enya|f|sweden
Erica|f|sweden
Erika|f|sweden
Erina |f|sweden
Erna|f|sweden
Erza|f|sweden
Esma |f|sweden
Esmeralda|f|sweden
Esra|f|sweden
Estelle|f|sweden
Ester|f|sweden
Esther|f|sweden
Estrid|f|sweden
Estrid |f|sweden
Ethel|f|sweden
Eufemia|f|sweden
Eugenia|f|sweden
Eva|f|sweden
Ewa|f|sweden
Eva-Britt|f|sweden
Eva-Lena|f|sweden
Eva-Lotta|f|sweden
Eva-Marie|f|sweden
Evelin|f|sweden
Evelina|f|sweden
Eveline|f|sweden
Evelyn|f|sweden
Evin|f|sweden
Evy|f|sweden
Fannie|f|sweden
Fanny|f|sweden
Farah |f|sweden
Fatima|f|sweden
Fatma|f|sweden
Felicia|f|sweden
Felizia|f|sweden
Fia|f|sweden
Fideli|f|sweden
Filippa|f|sweden
Fiona|f|sweden
Flora |f|sweden
Florence|f|sweden
Franka |f|sweden
Fredrica|f|sweden
Fredrika|f|sweden
Freija |f|sweden
Freja|f|sweden
Freya |f|sweden
Freyja |f|sweden
Frida|f|sweden
Frideborg|f|sweden
Gabriela |f|sweden
Gabriella|f|sweden
Gabrielle|f|sweden
Gerd|f|sweden
Gerda|f|sweden
Gerda |f|sweden
Gertie|f|sweden
Gertrud|f|sweden
Gina|f|sweden
Gisela|f|sweden
Gloria|f|sweden
Grace|f|sweden
Greta|f|sweden
Gry|f|sweden
