first_name|gender|origin
AMELIA|f|USA
AMELIE|f|USA
AMERICA|f|USA
AMETHYST|f|USA
AMIA|f|USA
AMINA|f|USA
AMIRA|f|USA
AMIYAH|f|USA
AMIYAH-MAE|f|USA
AMNA|f|USA
AMOHA|f|USA
A'MORA|f|USA
AMPARO|f|USA
AMRAN|f|USA
AMREET|f|USA
AMY|f|USA
AMYRA|f|USA
ANA|f|USA
ANABELLA|f|USA
ANABIYA|f|USA
ANAEL|f|USA
ANAGHA|f|USA
ANAHI|f|USA
ANAIRA|f|USA
ANAIS|f|USA
ANAISE|f|USA
ANAISHA|f|USA
ANALAYA|f|USA
ANALEA|f|USA
ANALEAH|f|USA
ANALEE|f|USA
ANALEIGH|f|USA
ANALIA|f|USA
ANALISA|f|USA
ANALUCIA|f|USA
ANALY|f|USA
ANALYN|f|USA
ANALYSSA|f|USA
ANANYA|f|USA
ANARISSA|f|USA
ANARRI|f|USA
ANASTASIA|f|USA
ANASTASIE|f|USA
ANASTASSIA|f|USA
ANAY|f|USA
ANAYA|f|USA
ANAYAH|f|USA
ANAYANCI|f|USA
ANAYELI|f|USA
ANAYENSI|f|USA
ANAYII|f|USA
ANDALUCIA|f|USA
ANDERSON|f|USA
ANDERSYN|f|USA
ANDI|f|USA
ANDIS|f|USA
ANDREA|f|USA
ANEIRA|f|USA
ANGEL|f|USA
ANGELA|f|USA
ANGELIA|f|USA
ANGELINA|f|USA
ANGELINE|f|USA
ANGELIQUE|f|USA
ANGELY|f|USA
ANGELYZ|f|USA
ANGIE|f|USA
ANGIELINE|f|USA
ANIAH|f|USA
ANIKA|f|USA
ANISA|f|USA
ANISSIA|f|USA
ANIYA|f|USA
ANIYAH|f|USA
ANIYLAA|f|USA
ANJEL|f|USA
ANN|f|USA
ANN LUCIA|f|USA
ANNA|f|USA
ANNA ANH|f|USA
ANNA KATE|f|USA
ANNABEL|f|USA
ANNABELL|f|USA
ANNABELLA|f|USA
ANNABELLE|f|USA
ANNABETH|f|USA
ANNAEL|f|USA
ANNAELLE|f|USA
ANNAIS|f|USA
ANNALEAH|f|USA
ANNALEE|f|USA
ANNALISA|f|USA
ANNALISE|f|USA
ANNALY|f|USA
ANNALYN|f|USA
ANNALYNN|f|USA
ANNALYSIA|f|USA
ANNALYSSA|f|USA
ANNA'MARIE|f|USA
ANNASOPHIA|f|USA
ANNE|f|USA
ANNE ELIZABETH|f|USA
ANNELI|f|USA
ANNELIES|f|USA
ANNERIS|f|USA
ANNEYVA|f|USA
ANNIE|f|USA
ANNIKA|f|USA
ANNISSA|f|USA
ANNMARIE|f|USA
ANNYLA|f|USA
ANNZLEE|f|USA
ANORA|f|USA
ANSLEE|f|USA
ANSON|f|USA
ANTANIQUE|f|USA
ANTONELLA|f|USA
ANUSKA|f|USA
ANVI|f|USA
ANVIKA|f|USA
ANYA|f|USA
ANYIA|f|USA
AOIFE|f|USA
AOLANIS|f|USA
APRIL|f|USA
ARABELLA|f|USA
ARABELLE|f|USA
ARACELI|f|USA
ARACELY|f|USA
ARALYN|f|USA
ARAMIE|f|USA
ARANTZA|f|USA
ARANZA|f|USA
ARAXIE|f|USA
ARBOR|f|USA
ARDELIA|f|USA
ARDYN|f|USA
AREESHA|f|USA
ARELI|f|USA
ARELY|f|USA
ARFA|f|USA
ARIA|f|USA
ARIAH|f|USA
ARIAM|f|USA
ARIANA|f|USA
ARIANA JO|f|USA
ARIANNA|f|USA
ARIANY|f|USA
ARIBELLA|f|USA
ARIEANA|f|USA
ARIEL|f|USA
ARIELENA|f|USA
ARIELLA|f|USA
ARIELLE|f|USA
ARIETTA|f|USA
ARIKA|f|USA
ARISA|f|USA
ARISHA|f|USA
ARISSA|f|USA
ARITZEL|f|USA
ARIVA|f|USA
ARIYA|f|USA
ARIYAH|f|USA
ARIYAN|f|USA
ARKISHA  MAISIE|f|USA
ARLENE|f|USA
ARLET|f|USA
ARLETH|f|USA
ARLETTE|f|USA
ARMANI|f|USA
ARREYON|f|USA
ARROW|f|USA
ARTEMIS|f|USA
ARWEN|f|USA
ARYA|f|USA
ARYAH|f|USA
ARYANA|f|USA
ARYANNA|f|USA
ARYIAH|f|USA
ARYN|f|USA
ASA|f|USA
ASANNAH|f|USA
ASHA|f|USA
ASHAH|f|USA
ASHARI|f|USA
ASHBY|f|USA
ASHLEY|f|USA
ASHLY|f|USA
ASHLYNNE|f|USA
ASHMI|f|USA
ASHTEN|f|USA
ASHTON|f|USA
ASHTYN|f|USA
ASHVI|f|USA
ASHWINI|f|USA
ASIA|f|USA
ASIA'LEE|f|USA
ASIL|f|USA
ASLYN|f|USA
ASPEN|f|USA
ASSAL|f|USA
ASSINAT|f|USA
ASTRID|f|USA
ASYA|f|USA
ATHENA|f|USA
ATLEE|f|USA
ATLEY|f|USA
ATZIRI|f|USA
AUBREE|f|USA
AUBREY|f|USA
AUBRIELLA|f|USA
AUBRIELLE|f|USA
AUBRION|f|USA
AUBURN|f|USA
AUDELIA|f|USA
AUDRA|f|USA
AUDREY|f|USA
AUDRIANNA|f|USA
AUDRINA|f|USA
AUDRIYANA|f|USA
AUDYSSEY|f|USA
AUGUST|f|USA
AULANI|f|USA
AUNYSTI|f|USA
AURELIA|f|USA
AURIE|f|USA
AURORA|f|USA
A'URORA|f|USA
AUSTEN|f|USA
AUSTIN|f|USA
